Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Commodity_Tag,Era,Geography,Borough,Sub_Industry,Adjacency,Language,Industry_Stakeholder,Cuisine,Beverage_Type,Priority,Status,Acquisition_Notes,Anna_Archive_Link,Archive_Org_Link,Direct_URL,Search_Query,NYC_Canonical,Added_In_Version
791,Non-Row-Crop,nuts,USDA,,California Almond Industry: An Economic Review,2022,USDA ERS,REPORT,produce,2020_present,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+California+Almond+Industry%3A+An+Economic+Review,https://archive.org/search?query=USDA+California+Almond+Industry%3A+An+Economic+Review,,USDA California Almond Industry: An Economic Review,False,v2
792,Non-Row-Crop,nuts,USDA,,Pistachio Market Outlook,2023,USDA FAS,REPORT,produce,2020_present,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=USDA+Pistachio+Market+Outlook,https://archive.org/search?query=USDA+Pistachio+Market+Outlook,,USDA Pistachio Market Outlook,False,v2
793,Non-Row-Crop,coffee,Talbot,John M.,Grounds for Agreement: The Political Economy of the Coffee Commodity Chain,2004,Rowman & Littlefield,BOOK,none,1980_2010,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Talbot+Grounds+for+Agreement%3A+The+Political+Economy+of+the+Coffee+Commodity+Chain,https://archive.org/search?query=Talbot+Grounds+for+Agreement%3A+The+Political+Economy+of+the+Coffee+Commodity+Chain,,Talbot Grounds for Agreement: The Political Economy of the Coffee Commodity Chain,False,v2
794,Non-Row-Crop,cocoa,Gayi,Samuel K.,Cocoa Industry: Integrating Small Farmers into the Global Value Chain,2016,UNCTAD,REPORT,none,2010_2020,Africa,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Gayi+Cocoa+Industry%3A+Integrating+Small+Farmers+into+the+Global+Value+Chain,https://archive.org/search?query=Gayi+Cocoa+Industry%3A+Integrating+Small+Farmers+into+the+Global+Value+Chain,,Gayi Cocoa Industry: Integrating Small Farmers into the Global Value Chain,False,v2
795,Non-Row-Crop,seafood,Smith,Martin D.,Sustainability and Global Seafood,2010,Science,ARTICLE,none,1980_2010,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Smith+Sustainability+and+Global+Seafood,https://archive.org/search?query=Smith+Sustainability+and+Global+Seafood,,Smith Sustainability and Global Seafood,False,v2
796,Ag R&D,land_grant,Alston,Julian M.,Persistence Pays: U.S. Agricultural Productivity Growth and the Benefits from Public R&D Spending,2010,Springer,BOOK,multi,spanning,US,none,none,none,en,academic,none,none,FLAGSHIP,NEEDED,Flagship Cat 24,https://annas-archive.org/search?q=Alston+Persistence+Pays%3A+U.S.+Agricultural+Productivity+Growth+and+the+Benefits+from+Public+R%26D+Spending,https://archive.org/search?query=Alston+Persistence+Pays%3A+U.S.+Agricultural+Productivity+Growth+and+the+Benefits+from+Public+R%26D+Spending,,Alston Persistence Pays: U.S. Agricultural Productivity Growth and the Benefits from Public R&D Spending,False,v2
797,Ag R&D,land_grant,Fuglie,Keith,Productivity Growth and Technology Capital in the Global Agricultural Economy,2012,in Productivity Growth,CHAPTER,multi,1980_2010,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Fuglie+Productivity+Growth+and+Technology+Capital+in+the+Global+Agricultural+Economy,https://archive.org/search?query=Fuglie+Productivity+Growth+and+Technology+Capital+in+the+Global+Agricultural+Economy,,Fuglie Productivity Growth and Technology Capital in the Global Agricultural Economy,False,v2
798,Ag R&D,land_grant,USDA,,USDA Agricultural Research Service: TEKTRAN Database,2024,USDA ARS,DATASET_DOC,multi,2020_present,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+USDA+Agricultural+Research+Service%3A+TEKTRAN+Database,https://archive.org/search?query=USDA+USDA+Agricultural+Research+Service%3A+TEKTRAN+Database,https://tellus.ars.usda.gov/,USDA USDA Agricultural Research Service: TEKTRAN Database,False,v2
799,Ag R&D,land_grant,Marcus,Alan I.,"Agricultural Science and the Quest for Legitimacy: Farmers, Agricultural Colleges, and Experiment Stations, 1870-1890",1985,Iowa State,BOOK,multi,pre1900,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Marcus+Agricultural+Science+and+the+Quest+for+Legitimacy%3A+Farmers%2C+Agricultural+Colleges%2C+and+Experiment+Stations%2C+1870-1890,https://archive.org/search?query=Marcus+Agricultural+Science+and+the+Quest+for+Legitimacy%3A+Farmers%2C+Agricultural+Colleges%2C+and+Experiment+Stations%2C+1870-1890,,"Marcus Agricultural Science and the Quest for Legitimacy: Farmers, Agricultural Colleges, and Experiment Stations, 1870-1890",False,v2
800,Ag R&D,cgiar,Baum,Warren C.,Partners Against Hunger: The Consultative Group on International Agricultural Research,1986,World Bank,BOOK,multi,1945_1980,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Baum+Partners+Against+Hunger%3A+The+Consultative+Group+on+International+Agricultural+Research,https://archive.org/search?query=Baum+Partners+Against+Hunger%3A+The+Consultative+Group+on+International+Agricultural+Research,,Baum Partners Against Hunger: The Consultative Group on International Agricultural Research,False,v2
801,Ag R&D,cgiar,Renkow,Mitch,Impacts of CGIAR Research: A Review of Recent Evidence,2010,Food Policy,ARTICLE,multi,1980_2010,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Renkow+Impacts+of+CGIAR+Research%3A+A+Review+of+Recent+Evidence,https://archive.org/search?query=Renkow+Impacts+of+CGIAR+Research%3A+A+Review+of+Recent+Evidence,,Renkow Impacts of CGIAR Research: A Review of Recent Evidence,False,v2
802,Ag R&D,cgiar,CGIAR,,CGIAR Annual Performance Report 2023,2024,CGIAR,REPORT,multi,2020_present,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=CGIAR+CGIAR+Annual+Performance+Report+2023,https://archive.org/search?query=CGIAR+CGIAR+Annual+Performance+Report+2023,https://www.cgiar.org/,CGIAR CGIAR Annual Performance Report 2023,False,v2
803,Ag R&D,foundations,Fitzgerald,Deborah,Exporting American Agriculture: The Rockefeller Foundation in Mexico,1986,Social Studies of Science,ARTICLE,multi,1945_1980,LatAm,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Fitzgerald+Exporting+American+Agriculture%3A+The+Rockefeller+Foundation+in+Mexico,https://archive.org/search?query=Fitzgerald+Exporting+American+Agriculture%3A+The+Rockefeller+Foundation+in+Mexico,,Fitzgerald Exporting American Agriculture: The Rockefeller Foundation in Mexico,False,v2
804,Ag R&D,foundations,Perkins,John H.,"The Rockefeller Foundation and the Green Revolution, 1941-56",1990,Agriculture and Human Values,ARTICLE,multi,1945_1980,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Perkins+The+Rockefeller+Foundation+and+the+Green+Revolution%2C+1941-56,https://archive.org/search?query=Perkins+The+Rockefeller+Foundation+and+the+Green+Revolution%2C+1941-56,,"Perkins The Rockefeller Foundation and the Green Revolution, 1941-56",False,v2
805,Ag R&D,extension_service,True,Alfred C.,"A History of Agricultural Extension Work in the United States, 1785-1923",1928,USDA,BOOK,multi,pre1900,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=True+A+History+of+Agricultural+Extension+Work+in+the+United+States%2C+1785-1923,https://archive.org/search?query=True+A+History+of+Agricultural+Extension+Work+in+the+United+States%2C+1785-1923,,"True A History of Agricultural Extension Work in the United States, 1785-1923",False,v2
806,Ag R&D,extension_service,Scheer,Scott D.,The Future of Cooperative Extension,2011,J Extension,ARTICLE,multi,2010_2020,US,none,none,none,en,academic,none,none,LOW,NEEDED,,https://annas-archive.org/search?q=Scheer+The+Future+of+Cooperative+Extension,https://archive.org/search?query=Scheer+The+Future+of+Cooperative+Extension,,Scheer The Future of Cooperative Extension,False,v2
807,Ag R&D,productivity,Fuglie,Keith O.,Productivity Growth and the Composition of Capital Services,2018,USDA ERS,REPORT,multi,2010_2020,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Fuglie+Productivity+Growth+and+the+Composition+of+Capital+Services,https://archive.org/search?query=Fuglie+Productivity+Growth+and+the+Composition+of+Capital+Services,https://www.ers.usda.gov/data-products/international-agricultural-productivity/,Fuglie Productivity Growth and the Composition of Capital Services,False,v2
808,Ag R&D,productivity,Pardey,Philip G.,Agricultural R&D: The Investment Gap,2016,Ag Econ,ARTICLE,multi,2010_2020,Global,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Pardey+Agricultural+R%26D%3A+The+Investment+Gap,https://archive.org/search?query=Pardey+Agricultural+R%26D%3A+The+Investment+Gap,,Pardey Agricultural R&D: The Investment Gap,False,v2
809,Ag R&D,land_grant,Hightower,Jim,"Hard Tomatoes, Hard Times: A Report of the Agribusiness Accountability Project",1972,Schenkman,BOOK,multi,1945_1980,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,Critique of land-grant,https://annas-archive.org/search?q=Hightower+Hard+Tomatoes%2C+Hard+Times%3A+A+Report+of+the+Agribusiness+Accountability+Project,https://archive.org/search?query=Hightower+Hard+Tomatoes%2C+Hard+Times%3A+A+Report+of+the+Agribusiness+Accountability+Project,,"Hightower Hard Tomatoes, Hard Times: A Report of the Agribusiness Accountability Project",False,v2
810,Ag R&D,productivity,USDA ERS,,Agricultural Productivity in the U.S.,2024,USDA ERS,DATASET_DOC,multi,2020_present,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+ERS+Agricultural+Productivity+in+the+U.S.,https://archive.org/search?query=USDA+ERS+Agricultural+Productivity+in+the+U.S.,https://www.ers.usda.gov/data-products/agricultural-productivity-in-the-us/,USDA ERS Agricultural Productivity in the U.S.,False,v2
811,Water Irrigation Soil,dust_bowl,Worster,Donald,Dust Bowl: The Southern Plains in the 1930s,1979,Oxford UP,BOOK,multi,1900_1945,US,none,none,none,en,academic,none,none,FLAGSHIP,NEEDED,Flagship Cat 25,https://annas-archive.org/search?q=Worster+Dust+Bowl%3A+The+Southern+Plains+in+the+1930s,https://archive.org/search?query=Worster+Dust+Bowl%3A+The+Southern+Plains+in+the+1930s,,Worster Dust Bowl: The Southern Plains in the 1930s,False,v2
812,Water Irrigation Soil,dust_bowl,Egan,Timothy,The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,2006,Houghton Mifflin,BOOK,multi,1900_1945,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Egan+The+Worst+Hard+Time%3A+The+Untold+Story+of+Those+Who+Survived+the+Great+American+Dust+Bowl,https://archive.org/search?query=Egan+The+Worst+Hard+Time%3A+The+Untold+Story+of+Those+Who+Survived+the+Great+American+Dust+Bowl,,Egan The Worst Hard Time: The Untold Story of Those Who Survived the Great American Dust Bowl,False,v2
813,Water Irrigation Soil,reclamation,Worster,Donald,"Rivers of Empire: Water, Aridity, and the Growth of the American West",1985,Pantheon,BOOK,multi,spanning,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Worster+Rivers+of+Empire%3A+Water%2C+Aridity%2C+and+the+Growth+of+the+American+West,https://archive.org/search?query=Worster+Rivers+of+Empire%3A+Water%2C+Aridity%2C+and+the+Growth+of+the+American+West,,"Worster Rivers of Empire: Water, Aridity, and the Growth of the American West",False,v2
814,Water Irrigation Soil,reclamation,Reisner,Marc,Cadillac Desert: The American West and Its Disappearing Water,1986,Viking,BOOK,multi,spanning,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Reisner+Cadillac+Desert%3A+The+American+West+and+Its+Disappearing+Water,https://archive.org/search?query=Reisner+Cadillac+Desert%3A+The+American+West+and+Its+Disappearing+Water,,Reisner Cadillac Desert: The American West and Its Disappearing Water,False,v2
815,Water Irrigation Soil,ogallala,Opie,John,Ogallala: Water for a Dry Land,1993,U Nebraska Press,BOOK,multi,spanning,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Opie+Ogallala%3A+Water+for+a+Dry+Land,https://archive.org/search?query=Opie+Ogallala%3A+Water+for+a+Dry+Land,,Opie Ogallala: Water for a Dry Land,False,v2
816,Water Irrigation Soil,ogallala,Deines,Jillian M.,Transitions from Irrigated to Dryland Agriculture in the Ogallala Aquifer,2020,Environmental Research Letters,ARTICLE,cereals,2020_present,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Deines+Transitions+from+Irrigated+to+Dryland+Agriculture+in+the+Ogallala+Aquifer,https://archive.org/search?query=Deines+Transitions+from+Irrigated+to+Dryland+Agriculture+in+the+Ogallala+Aquifer,,Deines Transitions from Irrigated to Dryland Agriculture in the Ogallala Aquifer,False,v2
817,Water Irrigation Soil,sgma_california,PPIC,,California's Groundwater Sustainability Management Act: Five Years On,2020,PPIC,REPORT,produce,2020_present,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=PPIC+California%27s+Groundwater+Sustainability+Management+Act%3A+Five+Years+On,https://archive.org/search?query=PPIC+California%27s+Groundwater+Sustainability+Management+Act%3A+Five+Years+On,https://www.ppic.org/,PPIC California's Groundwater Sustainability Management Act: Five Years On,False,v2
818,Water Irrigation Soil,sgma_california,Lund,Jay,California's Agricultural Water Economy,2020,UC Davis,REPORT,produce,2020_present,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Lund+California%27s+Agricultural+Water+Economy,https://archive.org/search?query=Lund+California%27s+Agricultural+Water+Economy,,Lund California's Agricultural Water Economy,False,v2
819,Water Irrigation Soil,soil_conservation,Helms,Douglas,Readings in the History of the Soil Conservation Service,1992,USDA NRCS,BOOK,multi,1900_1945,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Helms+Readings+in+the+History+of+the+Soil+Conservation+Service,https://archive.org/search?query=Helms+Readings+in+the+History+of+the+Soil+Conservation+Service,,Helms Readings in the History of the Soil Conservation Service,False,v2
820,Water Irrigation Soil,soil_conservation,Lal,Rattan,Soil Carbon Sequestration Impacts on Global Climate Change and Food Security,2004,Science,ARTICLE,multi,1980_2010,Global,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Lal+Soil+Carbon+Sequestration+Impacts+on+Global+Climate+Change+and+Food+Security,https://archive.org/search?query=Lal+Soil+Carbon+Sequestration+Impacts+on+Global+Climate+Change+and+Food+Security,https://doi.org/10.1126/science.1097396,Lal Soil Carbon Sequestration Impacts on Global Climate Change and Food Security,False,v2
821,Water Irrigation Soil,reclamation,Hundley,Norris,"The Great Thirst: Californians and Water, A History",2001,UC Press,BOOK,multi,spanning,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Hundley+The+Great+Thirst%3A+Californians+and+Water%2C+A+History,https://archive.org/search?query=Hundley+The+Great+Thirst%3A+Californians+and+Water%2C+A+History,,"Hundley The Great Thirst: Californians and Water, A History",False,v2
822,Water Irrigation Soil,ogallala,Scanlon,Bridget R.,Groundwater Depletion and Sustainability of Irrigation in the U.S. High Plains and Central Valley,2012,PNAS,ARTICLE,multi,2010_2020,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Scanlon+Groundwater+Depletion+and+Sustainability+of+Irrigation+in+the+U.S.+High+Plains+and+Central+Valley,https://archive.org/search?query=Scanlon+Groundwater+Depletion+and+Sustainability+of+Irrigation+in+the+U.S.+High+Plains+and+Central+Valley,https://doi.org/10.1073/pnas.1200311109,Scanlon Groundwater Depletion and Sustainability of Irrigation in the U.S. High Plains and Central Valley,False,v2
823,Water Irrigation Soil,sgma_california,Medellin-Azuara,Josue,Economic Impacts of California Drought 2022-2023,2023,UC Merced,REPORT,produce,2020_present,US,none,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Medellin-Azuara+Economic+Impacts+of+California+Drought+2022-2023,https://archive.org/search?query=Medellin-Azuara+Economic+Impacts+of+California+Drought+2022-2023,,Medellin-Azuara Economic Impacts of California Drought 2022-2023,False,v2
824,Water Irrigation Soil,soil_conservation,USDA NRCS,,National Resources Inventory (NRI) 2024,2024,USDA NRCS,DATASET_DOC,multi,2020_present,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=USDA+NRCS+National+Resources+Inventory+%28NRI%29+2024,https://archive.org/search?query=USDA+NRCS+National+Resources+Inventory+%28NRI%29+2024,https://www.nrcs.usda.gov/,USDA NRCS National Resources Inventory (NRI) 2024,False,v2
825,Water Irrigation Soil,dust_bowl,Hansen,Zeynep K.,"Bust and Boom: American Political Economy of the Prairie Grass, 1930-37",2009,J Economic History,ARTICLE,cereals,1900_1945,US,none,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Hansen+Bust+and+Boom%3A+American+Political+Economy+of+the+Prairie+Grass%2C+1930-37,https://archive.org/search?query=Hansen+Bust+and+Boom%3A+American+Political+Economy+of+the+Prairie+Grass%2C+1930-37,,"Hansen Bust and Boom: American Political Economy of the Prairie Grass, 1930-37",False,v2
826,NYC History Colonial,dutch,Rose,Peter G.,"Food, Drink and Celebrations of the Hudson Valley Dutch",2009,History Press,BOOK,none,pre1900,US,Citywide,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Rose+Food%2C+Drink+and+Celebrations+of+the+Hudson+Valley+Dutch,https://archive.org/search?query=Rose+Food%2C+Drink+and+Celebrations+of+the+Hudson+Valley+Dutch,,"Rose Food, Drink and Celebrations of the Hudson Valley Dutch",False,v3v4
827,NYC History Colonial,dutch,Van der Donck,Adriaen,A Description of the New Netherlands,1655,Syracuse UP,BOOK,none,pre1900,Colonial,Citywide,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Van+der+Donck+A+Description+of+the+New+Netherlands,https://archive.org/search?query=Van+der+Donck+A+Description+of+the+New+Netherlands,,Van der Donck A Description of the New Netherlands,False,v3v4
828,NYC History Colonial,colonial,Burrows,Edwin G.,Gotham: A History of New York City to 1898,1999,Oxford UP,BOOK,none,pre1900,US,Citywide,none,none,en,academic,none,none,CRITICAL,NEEDED,Pulitzer; w/ Wallace,https://annas-archive.org/search?q=Burrows+Gotham%3A+A+History+of+New+York+City+to+1898,https://archive.org/search?query=Burrows+Gotham%3A+A+History+of+New+York+City+to+1898,https://scholar.google.com/scholar?q=Burrows+Wallace+Gotham,Burrows Gotham: A History of New York City to 1898,True,v3v4
829,NYC History Colonial,colonial,Anbinder,Tyler,Five Points: The Nineteenth-Century New York City Neighborhood,2001,Free Press,BOOK,none,pre1900,US,Manhattan,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Anbinder+Five+Points%3A+The+Nineteenth-Century+New+York+City+Neighborhood,https://archive.org/search?query=Anbinder+Five+Points%3A+The+Nineteenth-Century+New+York+City+Neighborhood,https://scholar.google.com/scholar?q=Anbinder+Five+Points,Anbinder Five Points: The Nineteenth-Century New York City Neighborhood,True,v3v4
830,NYC History Colonial,colonial,Kurlansky,Mark,The Big Oyster: History on the Half Shell,2006,Ballantine,BOOK,none,pre1900,US,Citywide,none,none,en,academic,none,none,CRITICAL,NEEDED,,https://annas-archive.org/search?q=Kurlansky+The+Big+Oyster%3A+History+on+the+Half+Shell,https://archive.org/search?query=Kurlansky+The+Big+Oyster%3A+History+on+the+Half+Shell,https://scholar.google.com/scholar?q=Kurlansky+Big+Oyster,Kurlansky The Big Oyster: History on the Half Shell,True,v3v4
831,NYC History Colonial,gastropolis,Hauck-Lawson,Annie,Gastropolis: Food and New York City,2008,Columbia UP,BOOK,none,spanning,US,Citywide,none,none,en,academic,none,none,CRITICAL,NEEDED,,https://annas-archive.org/search?q=Hauck-Lawson+Gastropolis%3A+Food+and+New+York+City,https://archive.org/search?query=Hauck-Lawson+Gastropolis%3A+Food+and+New+York+City,https://scholar.google.com/scholar?q=Hauck-Lawson+Gastropolis,Hauck-Lawson Gastropolis: Food and New York City,True,v3v4
832,NYC History Colonial,gastropolis,Smith,Andrew F.,New York City: A Food Biography,2014,Rowman & Littlefield,BOOK,none,spanning,US,Citywide,none,none,en,academic,none,none,FLAGSHIP,NEEDED,,https://annas-archive.org/search?q=Smith+New+York+City%3A+A+Food+Biography,https://archive.org/search?query=Smith+New+York+City%3A+A+Food+Biography,https://scholar.google.com/scholar?q=Smith+New+York+City+Food+Biography,Smith New York City: A Food Biography,True,v3v4
833,NYC History Colonial,gastropolis,Smith,Andrew F.,Savoring Gotham: A Food Lover's Companion to New York City,2015,Oxford UP,BOOK,none,spanning,US,Citywide,none,none,en,academic,none,none,CRITICAL,NEEDED,,https://annas-archive.org/search?q=Smith+Savoring+Gotham%3A+A+Food+Lover%27s+Companion+to+New+York+City,https://archive.org/search?query=Smith+Savoring+Gotham%3A+A+Food+Lover%27s+Companion+to+New+York+City,,Smith Savoring Gotham: A Food Lover's Companion to New York City,True,v3v4
834,NYC History Colonial,fulton,NYHS,,Fulton Market Records 1822-1900,1900,New-York Historical Society,REPORT,none,pre1900,US,Manhattan,wholesale,none,en,academic,none,none,MEDIUM,PARTIAL,,https://annas-archive.org/search?q=NYHS+Fulton+Market+Records+1822-1900,https://archive.org/search?query=NYHS+Fulton+Market+Records+1822-1900,,NYHS Fulton Market Records 1822-1900,False,v3v4
835,NYC History Colonial,colonial,Levinson,David,The Early American Table: Food and Society in the New World,1997,NYU Press,BOOK,none,pre1900,US,Citywide,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Levinson+The+Early+American+Table%3A+Food+and+Society+in+the+New+World,https://archive.org/search?query=Levinson+The+Early+American+Table%3A+Food+and+Society+in+the+New+World,,Levinson The Early American Table: Food and Society in the New World,False,v3v4
836,NYC History Colonial,erie,Sheriff,Carol,The Artificial River: The Erie Canal and the Paradox of Progress,1996,Hill & Wang,BOOK,none,pre1900,US,Upstate,wholesale,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Sheriff+The+Artificial+River%3A+The+Erie+Canal+and+the+Paradox+of+Progress,https://archive.org/search?query=Sheriff+The+Artificial+River%3A+The+Erie+Canal+and+the+Paradox+of+Progress,,Sheriff The Artificial River: The Erie Canal and the Paradox of Progress,False,v3v4
837,NYC History Colonial,taverns,McWilliams,James E.,A Revolution in Eating: How the Quest for Food Shaped America,2005,Columbia UP,BOOK,none,pre1900,US,Citywide,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=McWilliams+A+Revolution+in+Eating%3A+How+the+Quest+for+Food+Shaped+America,https://archive.org/search?query=McWilliams+A+Revolution+in+Eating%3A+How+the+Quest+for+Food+Shaped+America,,McWilliams A Revolution in Eating: How the Quest for Food Shaped America,False,v3v4
838,NYC History Colonial,slavery,Harris,Leslie M.,In the Shadow of Slavery: African Americans in New York City 1626-1863,2003,U Chicago Press,BOOK,none,pre1900,US,Manhattan,none,none,en,academic,none,none,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Harris+In+the+Shadow+of+Slavery%3A+African+Americans+in+New+York+City+1626-1863,https://archive.org/search?query=Harris+In+the+Shadow+of+Slavery%3A+African+Americans+in+New+York+City+1626-1863,,Harris In the Shadow of Slavery: African Americans in New York City 1626-1863,False,v3v4
839,NYC History Colonial,diner,Diner,Hasia R.,Hungering for America: Italian Irish Jewish Foodways in the Age of Migration,2001,Harvard UP,BOOK,none,pre1900,US,Manhattan,none,none,en,academic,none,none,CRITICAL,NEEDED,,https://annas-archive.org/search?q=Diner+Hungering+for+America%3A+Italian+Irish+Jewish+Foodways+in+the+Age+of+Migration,https://archive.org/search?query=Diner+Hungering+for+America%3A+Italian+Irish+Jewish+Foodways+in+the+Age+of+Migration,https://scholar.google.com/scholar?q=Diner+Hungering+for+America,Diner Hungering for America: Italian Irish Jewish Foodways in the Age of Migration,True,v3v4
840,NYC History Colonial,tenement,Ziegelman,Jane,97 Orchard: An Edible History of Five Immigrant Families in One New York Tenement,2010,Harper,BOOK,none,pre1900,US,Manhattan,none,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Ziegelman+97+Orchard%3A+An+Edible+History+of+Five+Immigrant+Families+in+One+New+York+Tenement,https://archive.org/search?query=Ziegelman+97+Orchard%3A+An+Edible+History+of+Five+Immigrant+Families+in+One+New+York+Tenement,https://scholar.google.com/scholar?q=Ziegelman+97+Orchard,Ziegelman 97 Orchard: An Edible History of Five Immigrant Families in One New York Tenement,True,v3v4
841,NYC History Gilded,delmonicos,Thomas,Lately,Delmonico's: A Century of Splendor,1967,Houghton Mifflin,BOOK,none,pre1900,US,Manhattan,fine_dining,none,en,academic,none,none,CRITICAL,NEEDED,,https://annas-archive.org/search?q=Thomas+Delmonico%27s%3A+A+Century+of+Splendor,https://archive.org/search?query=Thomas+Delmonico%27s%3A+A+Century+of+Splendor,,Thomas Delmonico's: A Century of Splendor,False,v3v4
842,NYC History Gilded,menu,NYPL,,Delmonico's Menu 1899 (NYPL What's on the Menu),1899,NYPL,DATASET_DOC,none,pre1900,US,Manhattan,fine_dining,none,en,academic,none,none,HIGH,PARTIAL,NYPL primary source,https://annas-archive.org/search?q=NYPL+Delmonico%27s+Menu+1899+%28NYPL+What%27s+on+the+Menu%29,https://archive.org/search?query=NYPL+Delmonico%27s+Menu+1899+%28NYPL+What%27s+on+the+Menu%29,http://menus.nypl.org/menus/12380,NYPL Delmonico's Menu 1899 (NYPL What's on the Menu),False,v3v4
843,NYC History Gilded,menu,NYPL,,Waldorf-Astoria Menu 1907 (NYPL),1907,NYPL,DATASET_DOC,none,pre1900,US,Manhattan,fine_dining,none,en,academic,none,none,MEDIUM,PARTIAL,,https://annas-archive.org/search?q=NYPL+Waldorf-Astoria+Menu+1907+%28NYPL%29,https://archive.org/search?query=NYPL+Waldorf-Astoria+Menu+1907+%28NYPL%29,http://menus.nypl.org/,NYPL Waldorf-Astoria Menu 1907 (NYPL),False,v3v4
844,NYC History Gilded,menu,NYPL,,Rector's Menu 1910 (NYPL),1910,NYPL,DATASET_DOC,none,1900_1945,US,Manhattan,fine_dining,none,en,academic,none,none,MEDIUM,PARTIAL,,https://annas-archive.org/search?q=NYPL+Rector%27s+Menu+1910+%28NYPL%29,https://archive.org/search?query=NYPL+Rector%27s+Menu+1910+%28NYPL%29,http://menus.nypl.org/,NYPL Rector's Menu 1910 (NYPL),False,v3v4
845,NYC History Gilded,pushcarts,Bluestone,Daniel M.,The Pushcart Evil: Peddlers Merchants and NY's Progressive Era,1991,J Urban History,ARTICLE,none,1900_1945,US,Manhattan,food_truck,none,en,academic,none,none,HIGH,NEEDED,,https://annas-archive.org/search?q=Bluestone+The+Pushcart+Evil%3A+Peddlers+Merchants+and+NY%27s+Progressive+Era,https://archive.org/search?query=Bluestone+The+Pushcart+Evil%3A+Peddlers+Merchants+and+NY%27s+Progressive+Era,https://scholar.google.com/scholar?q=Bluestone+Pushcart+Evil,Bluestone The Pushcart Evil: Peddlers Merchants and NY's Progressive Era,False,v3v4
