Number,Category,Subcategory,Author_Last,Author_First,Title,Year,Publisher_Journal,Type,Commodity_Tag,Era,Geography,Priority,Status,Acquisition_Notes,Anna_Archive_Link,Archive_Org_Link,Direct_URL,Search_Query
447,Dairy,cheese_butter,Nicholson,Charles F.,US Dairy Trade and Competitiveness,2024,Cornell,REPORT,dairy,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Nicholson+US+Dairy+Trade+and+Competitiveness,https://archive.org/search?query=Nicholson+US+Dairy+Trade+and+Competitiveness,,Nicholson US Dairy Trade and Competitiveness
448,Dairy,us_dairy_policy,USDA,,Dairy Margin Coverage: Program Performance 2019-2024,2024,USDA FSA,REPORT,dairy,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=USDA+Dairy+Margin+Coverage%3A+Program+Performance+2019-2024,https://archive.org/search?query=USDA+Dairy+Margin+Coverage%3A+Program+Performance+2019-2024,https://www.fsa.usda.gov/programs-and-services/dairy-margin-coverage-program/,USDA Dairy Margin Coverage: Program Performance 2019-2024
449,Dairy,global_dairy,Jongeneel,Roel,The Decoupling of the EU Dairy Sector from World Prices,2020,European Review of Ag Econ,ARTICLE,dairy,2020_present,Europe,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Jongeneel+The+Decoupling+of+the+EU+Dairy+Sector+from+World+Prices,https://archive.org/search?query=Jongeneel+The+Decoupling+of+the+EU+Dairy+Sector+from+World+Prices,,Jongeneel The Decoupling of the EU Dairy Sector from World Prices
450,Dairy,milk_markets,Bozic,Marin,Dairy Commodity Markets and Risk Management 2024,2024,U Minnesota,REPORT,dairy,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Bozic+Dairy+Commodity+Markets+and+Risk+Management+2024,https://archive.org/search?query=Bozic+Dairy+Commodity+Markets+and+Risk+Management+2024,,Bozic Dairy Commodity Markets and Risk Management 2024
451,Dairy,us_dairy_policy,Stephenson,Mark W.,Federal Order Reform 2024,2024,Cornell,REPORT,dairy,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Stephenson+Federal+Order+Reform+2024,https://archive.org/search?query=Stephenson+Federal+Order+Reform+2024,,Stephenson Federal Order Reform 2024
452,Dairy,global_dairy,GDT,,Global Dairy Trade Price Index Reports 2024,2024,Fonterra,DATASET_DOC,dairy,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=GDT+Global+Dairy+Trade+Price+Index+Reports+2024,https://archive.org/search?query=GDT+Global+Dairy+Trade+Price+Index+Reports+2024,https://www.globaldairytrade.info/,GDT Global Dairy Trade Price Index Reports 2024
453,Dairy,cheese_butter,Ippolito,Pauline,Butter's Return: Fat and the Reversal of US Dairy Consumption,2020,USDA ERS,REPORT,dairy,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Ippolito+Butter%27s+Return%3A+Fat+and+the+Reversal+of+US+Dairy+Consumption,https://archive.org/search?query=Ippolito+Butter%27s+Return%3A+Fat+and+the+Reversal+of+US+Dairy+Consumption,,Ippolito Butter's Return: Fat and the Reversal of US Dairy Consumption
454,Dairy,milk_markets,USDA,,Plant-Based Dairy Alternatives: Economic Implications,2022,USDA ERS,REPORT,dairy,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Plant-Based+Dairy+Alternatives%3A+Economic+Implications,https://archive.org/search?query=USDA+Plant-Based+Dairy+Alternatives%3A+Economic+Implications,,USDA Plant-Based Dairy Alternatives: Economic Implications
455,Dairy,global_dairy,FAO,,Dairy Market Review: Annual,2024,FAO,REPORT,dairy,2020_present,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=FAO+Dairy+Market+Review%3A+Annual,https://archive.org/search?query=FAO+Dairy+Market+Review%3A+Annual,https://www.fao.org/markets-and-trade/commodities/dairy/,FAO Dairy Market Review: Annual
456,Oils Fats,palm_oil,Indonesia,,Indonesia Palm Oil Export Ban 2022: Analysis,2022,CSIS,REPORT,oils,2020_present,Asia,HIGH,NEEDED,,https://annas-archive.org/search?q=Indonesia+Indonesia+Palm+Oil+Export+Ban+2022%3A+Analysis,https://archive.org/search?query=Indonesia+Indonesia+Palm+Oil+Export+Ban+2022%3A+Analysis,https://www.csis.org/,Indonesia Indonesia Palm Oil Export Ban 2022: Analysis
457,Oils Fats,tropical_cycles,Baffes,John,The Food-Fuel Nexus After the 2022 Energy Shock,2023,World Bank,REPORT,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Baffes+The+Food-Fuel+Nexus+After+the+2022+Energy+Shock,https://archive.org/search?query=Baffes+The+Food-Fuel+Nexus+After+the+2022+Energy+Shock,https://www.worldbank.org/en/research/commodity-markets,Baffes The Food-Fuel Nexus After the 2022 Energy Shock
458,Oils Fats,olive_oil,Arriaza,Manuel,Spanish Olive Oil Crisis 2023: Drought and Prices,2024,New Medit,ARTICLE,oils,2020_present,Europe,HIGH,NEEDED,,https://annas-archive.org/search?q=Arriaza+Spanish+Olive+Oil+Crisis+2023%3A+Drought+and+Prices,https://archive.org/search?query=Arriaza+Spanish+Olive+Oil+Crisis+2023%3A+Drought+and+Prices,,Arriaza Spanish Olive Oil Crisis 2023: Drought and Prices
459,Oils Fats,soy_oil,USDA,,Renewable Diesel Feedstock Demand 2024,2024,USDA ERS,REPORT,oils,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Renewable+Diesel+Feedstock+Demand+2024,https://archive.org/search?query=USDA+Renewable+Diesel+Feedstock+Demand+2024,,USDA Renewable Diesel Feedstock Demand 2024
460,Oils Fats,palm_oil,Cramb,Rob,Oil Palm and the Challenges of Deforestation-Free Supply Chains,2023,Annual Review of Environment and Resources,ARTICLE,oils,2020_present,Asia,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Cramb+Oil+Palm+and+the+Challenges+of+Deforestation-Free+Supply+Chains,https://archive.org/search?query=Cramb+Oil+Palm+and+the+Challenges+of+Deforestation-Free+Supply+Chains,,Cramb Oil Palm and the Challenges of Deforestation-Free Supply Chains
461,Oils Fats,canola_sunflower,Canada,,Canola Market Outlook 2024,2024,Ag Canada,REPORT,oils,2020_present,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Canada+Canola+Market+Outlook+2024,https://archive.org/search?query=Canada+Canola+Market+Outlook+2024,,Canada Canola Market Outlook 2024
462,Oils Fats,soy_oil,Popkin,Barry,Dietary Patterns and Seed-Oil Consumption Changes,2023,Current Obesity Reports,ARTICLE,oils,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Popkin+Dietary+Patterns+and+Seed-Oil+Consumption+Changes,https://archive.org/search?query=Popkin+Dietary+Patterns+and+Seed-Oil+Consumption+Changes,,Popkin Dietary Patterns and Seed-Oil Consumption Changes
463,Oils Fats,tropical_cycles,Baffes,John,Vegetable Oil Prices and the Russia-Ukraine War,2022,World Bank Blog,ARTICLE,oils,2020_present,Europe,HIGH,NEEDED,,https://annas-archive.org/search?q=Baffes+Vegetable+Oil+Prices+and+the+Russia-Ukraine+War,https://archive.org/search?query=Baffes+Vegetable+Oil+Prices+and+the+Russia-Ukraine+War,https://blogs.worldbank.org/en/opendata,Baffes Vegetable Oil Prices and the Russia-Ukraine War
464,Oils Fats,palm_oil,WWF,,Palm Oil Buyers Scorecard,2024,WWF,REPORT,oils,2020_present,Global,LOW,NEEDED,,https://annas-archive.org/search?q=WWF+Palm+Oil+Buyers+Scorecard,https://archive.org/search?query=WWF+Palm+Oil+Buyers+Scorecard,,WWF Palm Oil Buyers Scorecard
465,Oils Fats,olive_oil,International Olive Council,,World Olive Oil Market Report 2024,2024,IOC,DATASET_DOC,oils,2020_present,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=International+Olive+Council+World+Olive+Oil+Market+Report+2024,https://archive.org/search?query=International+Olive+Council+World+Olive+Oil+Market+Report+2024,https://www.internationaloliveoil.org/,International Olive Council World Olive Oil Market Report 2024
466,Sugar Sweeteners,global_sugar,India,,India Sugar Export Ban 2023: Policy and Prices,2024,CSIS,REPORT,sugar,2020_present,Asia,HIGH,NEEDED,,https://annas-archive.org/search?q=India+India+Sugar+Export+Ban+2023%3A+Policy+and+Prices,https://archive.org/search?query=India+India+Sugar+Export+Ban+2023%3A+Policy+and+Prices,,India India Sugar Export Ban 2023: Policy and Prices
467,Sugar Sweeteners,hfcs,USDA,,Per Capita Sweetener Consumption: HFCS Decline,2023,USDA ERS,REPORT,sugar,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Per+Capita+Sweetener+Consumption%3A+HFCS+Decline,https://archive.org/search?query=USDA+Per+Capita+Sweetener+Consumption%3A+HFCS+Decline,https://www.ers.usda.gov/data-products/sugar-and-sweeteners-yearbook-tables/,USDA Per Capita Sweetener Consumption: HFCS Decline
468,Sugar Sweeteners,cane_beet,Rumble,Kathleen,Brazil's Sugar-Ethanol Sector Under Lula,2024,Brazil Ag Review,ARTICLE,sugar,2020_present,LatAm,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Rumble+Brazil%27s+Sugar-Ethanol+Sector+Under+Lula,https://archive.org/search?query=Rumble+Brazil%27s+Sugar-Ethanol+Sector+Under+Lula,,Rumble Brazil's Sugar-Ethanol Sector Under Lula
469,Sugar Sweeteners,us_sugar_program,USDA,,Sugar Program 2018 Farm Bill Provisions Analysis,2022,USDA ERS,REPORT,sugar,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=USDA+Sugar+Program+2018+Farm+Bill+Provisions+Analysis,https://archive.org/search?query=USDA+Sugar+Program+2018+Farm+Bill+Provisions+Analysis,,USDA Sugar Program 2018 Farm Bill Provisions Analysis
470,Sugar Sweeteners,hfcs,Fletcher,Anne,Soda Taxes and Sugar Demand: US City Experiments,2019,AJAE,ARTICLE,sugar,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Fletcher+Soda+Taxes+and+Sugar+Demand%3A+US+City+Experiments,https://archive.org/search?query=Fletcher+Soda+Taxes+and+Sugar+Demand%3A+US+City+Experiments,,Fletcher Soda Taxes and Sugar Demand: US City Experiments
471,Sugar Sweeteners,hfcs,Silver,Lynn D.,"Changes in Prices, Sales, Consumer Spending, and Beverage Consumption One Year After a Tax on Sugar-Sweetened Beverages in Berkeley",2017,PLoS Medicine,ARTICLE,sugar,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Silver+Changes+in+Prices%2C+Sales%2C+Consumer+Spending%2C+and+Beverage+Consumption+One+Year+After+a+Tax+on+Sugar-Sweetened+Beverages+in+Berkeley,https://archive.org/search?query=Silver+Changes+in+Prices%2C+Sales%2C+Consumer+Spending%2C+and+Beverage+Consumption+One+Year+After+a+Tax+on+Sugar-Sweetened+Beverages+in+Berkeley,,"Silver Changes in Prices, Sales, Consumer Spending, and Beverage Consumption One Year After a Tax on Sugar-Sweetened Beverages in Berkeley"
472,Sugar Sweeteners,global_sugar,ISO,,Sugar Yearbook 2024,2024,International Sugar Organization,DATASET_DOC,sugar,2020_present,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=ISO+Sugar+Yearbook+2024,https://archive.org/search?query=ISO+Sugar+Yearbook+2024,https://www.isosugar.org/,ISO Sugar Yearbook 2024
473,Sugar Sweeteners,hfcs,Mialon,Melissa,Public Health and Sugar: Industry Lobbying,2022,Global Public Health,ARTICLE,sugar,2020_present,Global,LOW,NEEDED,,https://annas-archive.org/search?q=Mialon+Public+Health+and+Sugar%3A+Industry+Lobbying,https://archive.org/search?query=Mialon+Public+Health+and+Sugar%3A+Industry+Lobbying,,Mialon Public Health and Sugar: Industry Lobbying
474,Sugar Sweeteners,cane_beet,Martínez,Homero,Mexican Sugar Imports After Anti-Dumping,2023,Applied Econ Perspectives & Policy,ARTICLE,sugar,2020_present,LatAm,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Mart%C3%ADnez+Mexican+Sugar+Imports+After+Anti-Dumping,https://archive.org/search?query=Mart%C3%ADnez+Mexican+Sugar+Imports+After+Anti-Dumping,,Martínez Mexican Sugar Imports After Anti-Dumping
475,Sugar Sweeteners,global_sugar,FAO,,Sugar Market Review 2024,2024,FAO,REPORT,sugar,2020_present,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=FAO+Sugar+Market+Review+2024,https://archive.org/search?query=FAO+Sugar+Market+Review+2024,https://www.fao.org/markets-and-trade/commodities/sugar/,FAO Sugar Market Review 2024
476,Produce,water_ag,Hanak,Ellen,Water and the Future of the San Joaquin Valley,2019,PPIC,REPORT,produce,2010_2020,US,CRITICAL,NEEDED,With Escriva-Bou,https://annas-archive.org/search?q=Hanak+Water+and+the+Future+of+the+San+Joaquin+Valley,https://archive.org/search?query=Hanak+Water+and+the+Future+of+the+San+Joaquin+Valley,https://www.ppic.org/publication/water-and-the-future-of-the-san-joaquin-valley/,Hanak Water and the Future of the San Joaquin Valley
477,Produce,water_ag,Hanak,Ellen,Managing Drought in a Changing Climate,2018,PPIC,REPORT,produce,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Hanak+Managing+Drought+in+a+Changing+Climate,https://archive.org/search?query=Hanak+Managing+Drought+in+a+Changing+Climate,,Hanak Managing Drought in a Changing Climate
478,Produce,labor_costs,Charlton,Diane,"Farm Labor Supply and Wage Patterns in the US, 1990-2020",2022,USDA ERS,REPORT,produce,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Charlton+Farm+Labor+Supply+and+Wage+Patterns+in+the+US%2C+1990-2020,https://archive.org/search?query=Charlton+Farm+Labor+Supply+and+Wage+Patterns+in+the+US%2C+1990-2020,,"Charlton Farm Labor Supply and Wage Patterns in the US, 1990-2020"
479,Produce,labor_costs,USDA,,Farm Labor (quarterly),2024,USDA NASS,DATASET_DOC,produce,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Farm+Labor+%28quarterly%29,https://archive.org/search?query=USDA+Farm+Labor+%28quarterly%29,https://www.nass.usda.gov/Publications/,USDA Farm Labor (quarterly)
480,Produce,seasonality,USDA,,Vegetables and Pulses Outlook 2024,2024,USDA ERS,REPORT,produce,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Vegetables+and+Pulses+Outlook+2024,https://archive.org/search?query=USDA+Vegetables+and+Pulses+Outlook+2024,https://www.ers.usda.gov/publications/periodicals/,USDA Vegetables and Pulses Outlook 2024
481,Produce,seasonality,USDA,,Fruit and Tree Nuts Outlook 2024,2024,USDA ERS,REPORT,produce,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Fruit+and+Tree+Nuts+Outlook+2024,https://archive.org/search?query=USDA+Fruit+and+Tree+Nuts+Outlook+2024,https://www.ers.usda.gov/publications/periodicals/,USDA Fruit and Tree Nuts Outlook 2024
482,Produce,specialty_crops,Daniels,Brooke,California Almond and Pistachio Boom: A Water-Use Analysis,2020,UC Davis,WORKING_PAPER,produce,2010_2020,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Daniels+California+Almond+and+Pistachio+Boom%3A+A+Water-Use+Analysis,https://archive.org/search?query=Daniels+California+Almond+and+Pistachio+Boom%3A+A+Water-Use+Analysis,,Daniels California Almond and Pistachio Boom: A Water-Use Analysis
483,Produce,cold_chain,USDA,,Retail Fruit and Vegetable Prices Under Supply-Chain Stress,2021,USDA ERS,REPORT,produce,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=USDA+Retail+Fruit+and+Vegetable+Prices+Under+Supply-Chain+Stress,https://archive.org/search?query=USDA+Retail+Fruit+and+Vegetable+Prices+Under+Supply-Chain+Stress,,USDA Retail Fruit and Vegetable Prices Under Supply-Chain Stress
484,Produce,water_ag,Public Policy Institute of California,,California's Water: Agricultural Supply and Demand 2024,2024,PPIC,REPORT,produce,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Public+Policy+Institute+of+California+California%27s+Water%3A+Agricultural+Supply+and+Demand+2024,https://archive.org/search?query=Public+Policy+Institute+of+California+California%27s+Water%3A+Agricultural+Supply+and+Demand+2024,https://www.ppic.org/,Public Policy Institute of California California's Water: Agricultural Supply and Demand 2024
485,Produce,seasonality,Reardon,Thomas,Rapid Transformation of Food Systems in Developing Regions: Highlighting the Role of Agricultural Research,2019,Food Security,ARTICLE,produce,2010_2020,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Reardon+Rapid+Transformation+of+Food+Systems+in+Developing+Regions%3A+Highlighting+the+Role+of+Agricultural+Research,https://archive.org/search?query=Reardon+Rapid+Transformation+of+Food+Systems+in+Developing+Regions%3A+Highlighting+the+Role+of+Agricultural+Research,,Reardon Rapid Transformation of Food Systems in Developing Regions: Highlighting the Role of Agricultural Research
486,Produce,labor_costs,USDA,,H-2A Program Usage and Wage Rates 2020-2024,2024,USDA ERS,REPORT,produce,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+H-2A+Program+Usage+and+Wage+Rates+2020-2024,https://archive.org/search?query=USDA+H-2A+Program+Usage+and+Wage+Rates+2020-2024,,USDA H-2A Program Usage and Wage Rates 2020-2024
487,Produce,specialty_crops,Naylor,Rosamond,Losing the Links Between Livestock and Land,2021,Science,ARTICLE,produce,2020_present,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Naylor+Losing+the+Links+Between+Livestock+and+Land,https://archive.org/search?query=Naylor+Losing+the+Links+Between+Livestock+and+Land,,Naylor Losing the Links Between Livestock and Land
488,Produce,seasonality,Huang,Kuo S.,The Demand for Fruits and Vegetables in the United States,2019,USDA ERS,REPORT,produce,2010_2020,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Huang+The+Demand+for+Fruits+and+Vegetables+in+the+United+States,https://archive.org/search?query=Huang+The+Demand+for+Fruits+and+Vegetables+in+the+United+States,,Huang The Demand for Fruits and Vegetables in the United States
489,Produce,cold_chain,FMI,,Power of Produce Annual Report 2024,2024,Food Marketing Institute,REPORT,produce,2020_present,US,MEDIUM,NEEDED,,https://annas-archive.org/search?q=FMI+Power+of+Produce+Annual+Report+2024,https://archive.org/search?query=FMI+Power+of+Produce+Annual+Report+2024,,FMI Power of Produce Annual Report 2024
490,Produce,water_ag,Medellín-Azuara,Josué,Economic Impacts of the 2021-22 California Drought on Agriculture,2022,UC Merced,REPORT,produce,2020_present,US,HIGH,NEEDED,,https://annas-archive.org/search?q=Medell%C3%ADn-Azuara+Economic+Impacts+of+the+2021-22+California+Drought+on+Agriculture,https://archive.org/search?query=Medell%C3%ADn-Azuara+Economic+Impacts+of+the+2021-22+California+Drought+on+Agriculture,,Medellín-Azuara Economic Impacts of the 2021-22 California Drought on Agriculture
491,Global Food Systems,food_security,Barrett,Christopher B.,Handbook of Agricultural Economics: Volume 6,2022,Elsevier,BOOK,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Barrett+Handbook+of+Agricultural+Economics%3A+Volume+6,https://archive.org/search?query=Barrett+Handbook+of+Agricultural+Economics%3A+Volume+6,,Barrett Handbook of Agricultural Economics: Volume 6
492,Global Food Systems,food_security,IPES-Food,,A Long Food Movement: Transforming Food Systems by 2045,2021,IPES-Food,REPORT,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=IPES-Food+A+Long+Food+Movement%3A+Transforming+Food+Systems+by+2045,https://archive.org/search?query=IPES-Food+A+Long+Food+Movement%3A+Transforming+Food+Systems+by+2045,https://ipes-food.org/,IPES-Food A Long Food Movement: Transforming Food Systems by 2045
493,Global Food Systems,food_security,HLPE,,Food Security and Nutrition: Building a Global Narrative Towards 2030,2020,UN CFS,REPORT,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=HLPE+Food+Security+and+Nutrition%3A+Building+a+Global+Narrative+Towards+2030,https://archive.org/search?query=HLPE+Food+Security+and+Nutrition%3A+Building+a+Global+Narrative+Towards+2030,https://www.fao.org/cfs/cfs-hlpe,HLPE Food Security and Nutrition: Building a Global Narrative Towards 2030
494,Global Food Systems,fao_fpi_methods,FAO,,The State of Food and Agriculture 2023: Revealing the True Cost of Food,2023,FAO,REPORT,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=FAO+The+State+of+Food+and+Agriculture+2023%3A+Revealing+the+True+Cost+of+Food,https://archive.org/search?query=FAO+The+State+of+Food+and+Agriculture+2023%3A+Revealing+the+True+Cost+of+Food,https://www.fao.org/publications/sofa/2023,FAO The State of Food and Agriculture 2023: Revealing the True Cost of Food
495,Global Food Systems,fao_fpi_methods,FAO,,The State of Food Security and Nutrition in the World 2024,2024,FAO,REPORT,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=FAO+The+State+of+Food+Security+and+Nutrition+in+the+World+2024,https://archive.org/search?query=FAO+The+State+of+Food+Security+and+Nutrition+in+the+World+2024,https://www.fao.org/publications/sofi/2024,FAO The State of Food Security and Nutrition in the World 2024
496,Global Food Systems,food_crises,Devereux,Stephen,The New Famines: Why Famines Persist in an Era of Globalization,2006,Routledge,BOOK,multi,1980_2010,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Devereux+The+New+Famines%3A+Why+Famines+Persist+in+an+Era+of+Globalization,https://archive.org/search?query=Devereux+The+New+Famines%3A+Why+Famines+Persist+in+an+Era+of+Globalization,,Devereux The New Famines: Why Famines Persist in an Era of Globalization
497,Global Food Systems,super_cycles,Jacks,David S.,"Commodity Prices and Global Inflation, 1851-2020",2022,NBER WP,WORKING_PAPER,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Jacks+Commodity+Prices+and+Global+Inflation%2C+1851-2020,https://archive.org/search?query=Jacks+Commodity+Prices+and+Global+Inflation%2C+1851-2020,https://www.nber.org/papers/w29664,"Jacks Commodity Prices and Global Inflation, 1851-2020"
498,Global Food Systems,green_revolution,Naylor,Rosamond,The Evolving Sphere of Food Security,2014,Oxford UP,BOOK,multi,2010_2020,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Naylor+The+Evolving+Sphere+of+Food+Security,https://archive.org/search?query=Naylor+The+Evolving+Sphere+of+Food+Security,,Naylor The Evolving Sphere of Food Security
499,Global Food Systems,green_revolution,McMillan,Margaret,The 21st Century Structural Transformation,2019,NBER,WORKING_PAPER,multi,2010_2020,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=McMillan+The+21st+Century+Structural+Transformation,https://archive.org/search?query=McMillan+The+21st+Century+Structural+Transformation,,McMillan The 21st Century Structural Transformation
500,Global Food Systems,super_cycles,Stuermer,Martin,150 Years of Boom and Bust: What Drives Mineral Commodity Prices?,2018,Macroeconomic Dynamics,ARTICLE,multi,2010_2020,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Stuermer+150+Years+of+Boom+and+Bust%3A+What+Drives+Mineral+Commodity+Prices%3F,https://archive.org/search?query=Stuermer+150+Years+of+Boom+and+Bust%3A+What+Drives+Mineral+Commodity+Prices%3F,,Stuermer 150 Years of Boom and Bust: What Drives Mineral Commodity Prices?
501,Global Food Systems,food_security,World Bank,,Food Security Update: Quarterly,2024,World Bank,REPORT,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=World+Bank+Food+Security+Update%3A+Quarterly,https://archive.org/search?query=World+Bank+Food+Security+Update%3A+Quarterly,https://www.worldbank.org/en/topic/agriculture/brief/food-security-update,World Bank Food Security Update: Quarterly
502,Global Food Systems,fao_fpi_methods,FAO,,Food Outlook - May 2024 / November 2024,2024,FAO,REPORT,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=FAO+Food+Outlook+-+May+2024+%2F+November+2024,https://archive.org/search?query=FAO+Food+Outlook+-+May+2024+%2F+November+2024,https://www.fao.org/giews/reports/food-outlook/en/,FAO Food Outlook - May 2024 / November 2024
503,Global Food Systems,food_crises,IFPRI,,Global Food Policy Report 2024,2024,IFPRI,REPORT,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=IFPRI+Global+Food+Policy+Report+2024,https://archive.org/search?query=IFPRI+Global+Food+Policy+Report+2024,https://www.ifpri.org/publication/2024-global-food-policy-report,IFPRI Global Food Policy Report 2024
504,Global Food Systems,food_security,Chatzopoulos,Thomas,Climate Extremes and Agricultural Commodity Markets,2020,Applied Econ Perspectives & Policy,ARTICLE,multi,2020_present,Global,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Chatzopoulos+Climate+Extremes+and+Agricultural+Commodity+Markets,https://archive.org/search?query=Chatzopoulos+Climate+Extremes+and+Agricultural+Commodity+Markets,,Chatzopoulos Climate Extremes and Agricultural Commodity Markets
505,Global Food Systems,super_cycles,Baffes,John,Commodity Prices and the COVID-19 Pandemic,2022,World Bank,REPORT,multi,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Baffes+Commodity+Prices+and+the+COVID-19+Pandemic,https://archive.org/search?query=Baffes+Commodity+Prices+and+the+COVID-19+Pandemic,https://www.worldbank.org/en/research/commodity-markets,Baffes Commodity Prices and the COVID-19 Pandemic
506,Trade Geopolitics,russia_ukraine,Glauber,Joseph W.,War in Ukraine: One Year Later,2023,IFPRI,REPORT,cereals,2020_present,Europe,HIGH,NEEDED,,https://annas-archive.org/search?q=Glauber+War+in+Ukraine%3A+One+Year+Later,https://archive.org/search?query=Glauber+War+in+Ukraine%3A+One+Year+Later,https://www.ifpri.org/,Glauber War in Ukraine: One Year Later
507,Trade Geopolitics,russia_ukraine,Chepeliev,Maksym,Cutting Russia's Fossil Fuel Exports: Implications for the Global Economy,2022,Energy Policy,ARTICLE,multi,2020_present,Europe,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Chepeliev+Cutting+Russia%27s+Fossil+Fuel+Exports%3A+Implications+for+the+Global+Economy,https://archive.org/search?query=Chepeliev+Cutting+Russia%27s+Fossil+Fuel+Exports%3A+Implications+for+the+Global+Economy,,Chepeliev Cutting Russia's Fossil Fuel Exports: Implications for the Global Economy
508,Trade Geopolitics,china_trade,USDA,,Agricultural Trade With China: Data and Analysis,2024,USDA ERS,REPORT,multi,2020_present,Asia,HIGH,NEEDED,,https://annas-archive.org/search?q=USDA+Agricultural+Trade+With+China%3A+Data+and+Analysis,https://archive.org/search?query=USDA+Agricultural+Trade+With+China%3A+Data+and+Analysis,https://www.ers.usda.gov/topics/international-markets-us-trade/countries-regions/china/,USDA Agricultural Trade With China: Data and Analysis
509,Trade Geopolitics,china_trade,Grant,Jason H.,The Lingering Effects of the US-China Trade War on Agriculture,2023,Applied Econ Perspectives & Policy,ARTICLE,multi,2020_present,Asia,HIGH,NEEDED,,https://annas-archive.org/search?q=Grant+The+Lingering+Effects+of+the+US-China+Trade+War+on+Agriculture,https://archive.org/search?query=Grant+The+Lingering+Effects+of+the+US-China+Trade+War+on+Agriculture,,Grant The Lingering Effects of the US-China Trade War on Agriculture
510,Trade Geopolitics,china_trade,Carter,Colin A.,China and the Global Market for Grains,2022,Choices Magazine,ARTICLE,cereals,2020_present,Asia,MEDIUM,NEEDED,,https://annas-archive.org/search?q=Carter+China+and+the+Global+Market+for+Grains,https://archive.org/search?query=Carter+China+and+the+Global+Market+for+Grains,,Carter China and the Global Market for Grains
511,Trade Geopolitics,export_bans,Anderson,Kym,Responding to Wheat Price Spikes: Export Restrictions and Their Alternatives,2024,Food Policy,ARTICLE,cereals,2020_present,Global,HIGH,NEEDED,,https://annas-archive.org/search?q=Anderson+Responding+to+Wheat+Price+Spikes%3A+Export+Restrictions+and+Their+Alternatives,https://archive.org/search?query=Anderson+Responding+to+Wheat+Price+Spikes%3A+Export+Restrictions+and+Their+Alternatives,,Anderson Responding to Wheat Price Spikes: Export Restrictions and Their Alternatives
